s1_entity_id	missed_entity_id	source	s1_business_name	s1_business_address	s1_country	target_business_name	target_business_address	target_country
S1-945360052	S3-993303669	Source 3	Rachana Reality	West Bengal, Kolkata, 170/1 Lower Circuler Road, Howrah, Kolkata	India	#rachanareality	170/1 Lower Circuler Road, Kolkata, Hugli, Kolkata, WB	India
S1-445868199	S3-527067015	Source 3	Physical Therapy Group Inc	7311 Madison Commons Lane, Houston, TX	US	Physicaltherapygroup.Com	Texas, 7311 Madison Commons Lane, Houston	US
S1-289512402	S3-866244606	Source 3	Safe Supply International	TX, Cypress, 20126 Crossvine Trail Lane	US	Safe Safe Sdgulpply International	20126 Crossvine Trail Lane, Cypress, Texas	US
S1-289512402	S2-547617311	Source 2	Safe Supply International	TX, Cypress, 20126 Crossvine Trail Lane	US	Safe Súpply Ínternational		US
S1-508701481	S3-444227012	Source 3	Red Energy Pvt Ltd	Plot No-371/1519, Uttampur, Near Meera Mandap, Cuttack Sadar, Cuttack, Orissa	India	Red ଏନର୍ଜି Pvt Ltd	Plot No-371/1519, Cuttack Sadar, Orissa	India
S1-776686932	S3-653415229	Source 3	Bn Technologies Ltd	Kallingalakathchennara P O Mangalam, Malapuram, Kerala	India	#bntechnologies	Malapuram, Malappuram, KL, Kallingalakathchennara P O Mangalam	India
S1-818389760	S3-673029335	Source 3	Hernandez's Spa	5057 Macnamara Drive, Spotsylvania County, VA	US	hernandezs.com	005057 Macnamara Drive, Fredericksburg, Virginia	US
S1-22787740	S3-337828913	Source 3	Shiv Consultancy Limited	S. No. 116/4, Wallstreet, 3Rd Floor, Office No. 308, Pune City, Pune, Maharashtra	India	Shiv Conusltancy Limited	S. No. 116/4, Pune City, Pune, MH	India
S1-337241318	S2-511770959	Source 2	Aditesh Foundation Private Limited	Tamil Nadu, No.26, Chennai, Kothari Nagar, 1St Street, Ramapuram	India	ADITESH FUOTNDATION PRIVATE LIMITED	NO.D/26 , KOTHARI NAGAR, 1ST STREET, RAMAPURAM, CHENNAI, Tamil Nadu	India
S1-349683786	S2-983792162	Source 2	All Global Private Limited	508, Bhaveshwar Complex, Station Road, Vidyavihar (West), Mumbai, Mumbai City, Maharashtra	India	PRIVATE ALL GL0BAL LIMITED	508, MUMBAI CITY, BOMBAY, Maharashtra	India
S1-435197119	S2-23416594	Source 2	Arihant Properties	Plot No.569/1400, Kuakhai Nagar, Lane-2, Bhubaneswar, Khordha, Orissa	India	ଅରିହନ୍ତ ପ୍ରୋପର୍ଟିଜ୍	PLOT NO.569/1400, KHORDHA, Odisha	India
S1-435197119	S2-976363731	Source 2	Arihant Properties	Plot No.569/1400, Kuakhai Nagar, Lane-2, Bhubaneswar, Khordha, Orissa	India	ଅରିହନ୍ତ ପ୍ରୋପର୍ଟିଜ୍	PLOT NO.569/1400, KHORDHA, Odisha	India
S1-798312676	S3-243209227	Source 3	Vision Impex Private Limited	Flat No - 003, B-23, R N B Bldg, Anand Nagar, Dahisar East, Mumbai, Maharashtra	India	Vision इम्पेक्स Private Limited	महाराष्ट्र, Mumbai, Flat No - 003, B-23, R N B Bldg, Anand Nagar, Dahisar East	India
S1-103306577	S3-928095370	Source 3	Board of Buildings	IL, Kincaid, 1308 Springfield Road	US	Board of Blulidiegs	1308-1312 Springfield Road, PMB 1356, Kincaid, Illinois	US
S1-103306577	S2-303100284	Source 2	Board of Buildings	IL, Kincaid, 1308 Springfield Road	US	Board of Búildings	308 SPRINGFIELD RD, KINCAID, IL	US
S1-103306577	S2-972889340	Source 2	Board of Buildings	IL, Kincaid, 1308 Springfield Road	US	Board of	308 SPRINGFIELD ROAD, KINCAID, IL	US
S1-136329156	S3-518441474	Source 3	Baba Care Pvt Ltd	No.43, Vgn Mahalakshmi Nag, Iiird Main Road, Poonamallee, Tiruvallur, Tamil Nadu	India	பாபா கேர் பிரைவேட் லிமிடெட்	Door No 43, Tiruvallur, Poonamallee, TN	India
S1-695404178	S2-585697744	Source 2	Million Marketing Pvt. Ltd.	Shop No.72/2, Deviniwash Road, Kolkata, Kolkata, Howrah, West Bengal	India	MILLIONMARKETING.COM	DOOR NO 72/ , DEVINIWASH ROAD, KOLKATA, HOWRAH, West Bengal	India
S1-695404178	S3-736391862	Source 3	Million Marketing Pvt. Ltd.	Shop No.72/2, Deviniwash Road, Kolkata, Kolkata, Howrah, West Bengal	India	Million (Márketing)	WB, Howrah, #072/2, Deviniwash Road, Kolkata	India
S1-299367178	S2-250009064	Source 2	American Legacy Islands Inc	729 Cr 11, Tiffin, OH	US	Veragildsyn	729 CR 11, CLINTON TWP, OH	US
S1-559249977	S3-314527984	Source 3	My Investment Private Limited	C/O Mayank Anilkumar Sing, Chinchani District Thane, Palghar, Thane, Maharashtra	India	माय इन्वेस्टमेंट प्राइवेट लिमिटेड	MH, Palghar, Thane, C/o Mayank Anilkumar Sing, Chinchani District Thane	India
S1-713796415	S2-401853744	Source 2	Perfect Systems Private Limited	Surat, Gujarat, 7Th Floor Office 703 -704 Rs No 365/P 366 Tps -4 Fp -50 Diamond World Tower -A Nr Prince Plaza, Mangadh Chowk Mini Bazar., Varachha Road, Surat	India	પરફેક્ટ સિસ્ટમ્સ પ્રાઇવેટ લિમિટેડ	DOOR NO 7TH. FLOOR OFFICE 703 -704 RS NO 365/P 366 TPS -4 FP -50 DIAMOND WORLD TOWER -A NR PRINCE PLAZA, MANGADH CHOWK MINI BAZAR., VARACHHA ROAD, SURAT, SURAT, ગુજરાત	India
S1-713796415	S3-60753683	Source 3	Perfect Systems Private Limited	Surat, Gujarat, 7Th Floor Office 703 -704 Rs No 365/P 366 Tps -4 Fp -50 Diamond World Tower -A Nr Prince Plaza, Mangadh Chowk Mini Bazar., Varachha Road, Surat	India	#perfectsystems	B3/7th Floor Office 703 -704 Rs No 365/P 366 Tps -4 Fp -50 Diamond World Tower -A Nr Prince Plaza, Surat, GJ	India
S1-141869436	S2-890829176	Source 2	Sahaja Edutech LLP	Ground Floor, Ramkrishnapur, Sabrakone, Taldangra, Bankura, West Bengal	India	LLP SAHAJA EDUTHCH	GROUND FLOOR, TALDANGRA, West Bengal, RAMKRISHNAPUR, SABRAKONE, BANKURA	India
S1-722701300	S3-946525856	Source 3	Prananth Chemicals Limited	Ed-2C Pitampura, Madhuban Chownk, New Delhi, North West, Delhi	India	Prananth  Chemicmns Limited		India
S1-879207596	S2-476270581	Source 2	Prime Investment Private Limited	Flat No. 302, Buld. No A, Heliconia Ii Magarpatta, Pune City, Pune, Maharashtra	India	प्राइम इन्वेस्टमेंट प्राइवेट लिमिटेड	DOOR NO 302, PUNE, null, Maharashtra	India
S1-879207596	S3-232810221	Source 3	Prime Investment Private Limited	Flat No. 302, Buld. No A, Heliconia Ii Magarpatta, Pune City, Pune, Maharashtra	India	Yumajaxriza	302, Buld. No A, Heliconia Ii Magarpatta, Pune, Pune City, महाराष्ट्र	India
S1-879207596	S3-425703002	Source 3	Prime Investment Private Limited	Flat No. 302, Buld. No A, Heliconia Ii Magarpatta, Pune City, Pune, Maharashtra	India	प्राइम इन्वेस्टमेंट प्राइवेट लिमिटेड	Pune, Buld. No A, Heliconia Ii Magarpatta, Flat No. 302, Pune City, महाराष्ट्र	India
S1-679867766	S2-758749983	Source 2	Bright Seafood Inc	8531 Ff, Town Of Grant, WI	US	Bright  Sbgaefodo Inc	8531 FF, WISCONSIN RAPIDS, WI	US
S1-679867766	S2-229196987	Source 2	Bright Seafood Inc	8531 Ff, Town Of Grant, WI	US	brightseafood.com	8531 FF, WISCONSIN RAPIDS TOWNSHIP, WI	US
S1-679867766	S3-474416661	Source 3	Bright Seafood Inc	8531 Ff, Town Of Grant, WI	US	Bright Sealfaomd  Inc	8531c Ff, Wisconsin, Town Of Grant	US
S1-679867766	S2-281940270	Source 2	Bright Seafood Inc	8531 Ff, Town Of Grant, WI	US	Bright Séafoeod Inc	8531 FF, WISCONSIN RAPIDS, WI	US
S1-362453370	S3-599301293	Source 3	Delta Keen Inc	40 Peabody Street, TN, Nashville, Unit 122	US	Lumvera formerly: Delta Keen Inc	Nashville, TN, Unit 122, 40 Peabody Street	US
S1-861667938	S2-241528425	Source 2	FGY Time	572 B, Nemi Sagar Colony Vaishali Marg Vaishali Nagar, Jaipur, Rajasthan	India	FGY Tom	DOOR NO 572 B, NEMI SAGAR COLONY VAISHALI MARG VAISHALI NAGAR, JAIPUR, Rajasthan	India
S1-10222665	S2-494483805	Source 2	Jupitar (India) Planners Pvt. Ltd.	443-The Boulevard, Opp. Western Bus Hub, Surat City, Surat, Gujarat	India	Smt IJPLANNERS.COM	SURAT CITY, BOULEVARD, Gujarat	India
S1-701324010	S2-675926597	Source 2	Giriraj Media Pvt Ltd	Charander Village Road, Kolkata, Howrah, 41A, Kolkata, West Bengal	India	@girirajmedia	41A, CHARANDER VILAGE ROAD, KOLKATA, KOLKATA, West Bengal	India
S1-871170634	S2-126438440	Source 2	Diehm Permian LP	Chesterfield County, 7806 Duntrune Drive, VA	US	pérmiandiehm.com	7806 DUNTRUNE DRIVE, CHESTERFIELDCITY, VA	US
S1-871170634	S2-368302501	Source 2	Diehm Permian LP	Chesterfield County, 7806 Duntrune Drive, VA	US	Diehm Pérmian LP	7806 DUNTRUNE DR, CHESTERFIELDCITY, VA	US
S1-300289723	S3-918851466	Source 3	Healthy Engineering Limited	Flat No. 803, Mi Rustle Court, Sector-6, Lucknow, Uttar Pradesh	India	Healthy Limited Services		India
S1-953545521	S2-178012926	Source 2	5-Legged Dog	6521 91st Place, Lubbock, TX	US	5leggeddogcom	6521D 91ST PLACE, LUBBOCK, TX	US
S1-953545521	S3-451217093	Source 3	5-Legged Dog	6521 91st Place, Lubbock, TX	US	5Loed Dog	6521 91th Pl, Lubbock, Texas	US
S1-754201992	S3-562945328	Source 3	Rediex LLC	Cle Elum, WA, 380 Morning Dove Lane	US	Rmrnex LLC	00380 Morning Dove Ln, Cle Elum, Washington	US
S1-754201992	S3-835305931	Source 3	Rediex LLC	Cle Elum, WA, 380 Morning Dove Lane	US	Fayedeltaorbi a/k/a Rediex LLC	380 Morning Dove Lane, Cle Elum, WA	US
S1-879877635	S2-794448353	Source 2	Kiran & Brothers	Srikrishnapuri, Patna, Bihar, Srikrishnapuri, 207B	India	KIRAN & BRBTEDERS	H.NO G-320 207B, SRIKRISHNAPURI, SRIKRISHNAPURI, Bihar	India
S1-349849273	S2-947199280	Source 2	Jajodia & Co Ltd	B-303, Sai Anand Apartment, Sambhaji Nagar, Vaitiwadi, Thane (West), Thane, Maharashtra	India	Mr j.com	PLOT 233 B-303, THANE, Maharashtra	India
S1-566265142	S3-498027490	Source 3	JU Solutions Private Limited	3Rd Floor, B/86 Swarnim, Indsutrial Park, Phase 2, Dascroi, Ahmedabad, Gujarat	India	Private JU Solutions Limited	Dascroi, Doro No 3Rd Floor, Ahmedabad, ગુજરાત	India
S1-973717755	S2-940499387	Source 2	Ujjawal Institute of Technology	Sr No-45/1/1 Milkat No, 1043 Hole Wasti Undri, Pune City, Pune, Maharashtra	India	Ujjawa1  Institute of Center		India
S1-453313801	S2-522655618	Source 2	Jay Media	9-4-84/44, Kakatiya Nagar, Nanal Nagar, Golconda, Hyderabad, Telangana	India	జై మీడియా	09-4-84/44, GOLCONDA, HYDERABAD, తెలంగాణ	India
S1-553350361	S3-897956488	Source 3	Keystone Dividend Company	275 Candlers Mountain Road, Campbell County, VA	US	Keystone Divmidned Company	275 Canders Mountain Road, Rustburg, Virginia	US
S1-250284344	S3-801025607	Source 3	Fortune Developers Private Limited	Punjab, C/O Sukhjiwan Kumar So Dharam Pal Bansal Mc No.585/12, Moga, Opp. Axis Bank, Mudki Road, Baghapurana	India	Fortune Private Limited-Service	C/o Sukhjiwan Kumar So Dharam Pal Bansal Mc No.585/12, Baghapurana, Moga, PB	India
S1-726175679	S2-682080483	Source 2	Blue Global Private Limited	A/610, Main Frame Building, Royal Palms, Aarey Milk Colony, Goregaon (East), Mumbai, Maharashtra	India	Blue Glhobla Private Limited		India
S1-726175679	S2-636109237	Source 2	Blue Global Private Limited	A/610, Main Frame Building, Royal Palms, Aarey Milk Colony, Goregaon (East), Mumbai, Maharashtra	India	ब्लू ग्लोबल प्राइवेट लिमिटेड	A/610, Maharashtra, GOREGAON (EAST), MUMBAI, MAIN FRAME BUILDING, ROYAL PALMS, AAREY MILK COLONY	India
S1-223620731	S2-938681600	Source 2	Global Infotech Limited	West Delhi, Delhi, New Delhi, Khasara No. 71/3, 1St Floor Sec-23, Shyam Colony Budh Vihar, H No.-1190	India	ग्लोबल इंफोटेक लिमिटेड	H NO.-1190, NORTH DELHI, NEW DELHI, Delhi	India
S1-223620731	S2-590226331	Source 2	Global Infotech Limited	West Delhi, Delhi, New Delhi, Khasara No. 71/3, 1St Floor Sec-23, Shyam Colony Budh Vihar, H No.-1190	India	ग्लोबल इंफोटेक लिमिटेड	H NO.-1190, KHASARA NO. 71/3, 1ST FLOOR SEC-23, SHYAM COLONY BUDH VIHAR, NORTH DELHI, NEW DELHI, Delhi	India
S1-897987810	S3-158141378	Source 3	Continental Beacon Home Improvements Inc	24331 Old 24, Woodburn, IN	US	Deltavantage	Woodburn, 24331 Old 24, IN	US
S1-284938229	S2-34169267	Source 2	Jain Ventures Private Limited	#313, J.C. Extension, Vijayapur, Devanhalli Ta, Luk, Vagdevi Nilaya, Bangalore, Karnataka, Bangalore	India	ಜೈನ್ ವೆಂಚರ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್	VAGDEVI NILAYA, BANGALORE, Karnataka	India
S1-284938229	S3-949307490	Source 3	Jain Ventures Private Limited	#313, J.C. Extension, Vijayapur, Devanhalli Ta, Luk, Vagdevi Nilaya, Bangalore, Karnataka, Bangalore	India	Jain Venmturse Private Limited	Vagdevi Nilaya, #313, J.c. Extension, Vijayapur, Devanhalli Ta, Luk, Bengaluru, Bangalore, KA	India
S1-531427084	S2-745746990	Source 2	Electricians Union Local No 947	La Plata, MD, 844 Holly Drive	US	unionlocalelectricians.com	844 HOLLY DRIVE, LA PLATA, MD	US
S1-531427084	S3-45492899	Source 3	Electricians Union Local No 947	La Plata, MD, 844 Holly Drive	US	electriciansunionlocal.com	844 Holly Drive, La Plata, Maryland	US
S1-619255846	S2-850163306	Source 2	Antonio Rush	OK, 1213 Orient, Clinton	US	antoniorush.com	1213 ONIENT, OK, CLINTON	US
S1-598852387	S2-947962409	Source 2	Municipals	140 Drivers Lane, Unit 4, Gallatin, TN	US	Muiiicpas	420 DRIVERS LN, GALATIN, TN	US
S1-598852387	S3-46093263	Source 3	Municipals	140 Drivers Lane, Unit 4, Gallatin, TN	US	Fayevantage (ID: 4784)	Gallatin, # 4, 68 Drivers Ln, Tennessee	US
S1-473219328	S3-677195410	Source 3	Agra Interactive Private Limited	C 67, 8Th/F Block C Gh 2, Multitech Towers, Sector 91, S.A.S.Nagar (Mohali), Rupnagar, Punjab	India	M/s Agra lnteractive Private Limited	C 67, PB, Rupnagar, S.a.s.nagar (Mohali)	India
S1-146845100	S2-753806369	Source 2	Orthopedic Associates Inc	360 324 Street, Willowick, OH	US	orthopedicassociates.com	760 324 ST, WILLOWICK, OH	US
S1-146845100	S2-341455263	Source 2	Orthopedic Associates Inc	360 324 Street, Willowick, OH	US	ORTHOPEDIC AOSOSOOITES INC		US
S1-11627159	S2-81915747	Source 2	Pacific Valley Berkley Inc.	Romeoville, IL, 424 Macon Avenue	US	pacificvalleyberkley.com	424 MACON AVE, INCORPORATED, IL	US
S1-833965887	S3-973716231	Source 3	Innovative Galaxy Software	No 42 Nair Ayya Pillai St, Chennai, Tamil Nadu	India	innovativegalaxysoftware.com	Chennai, Door No ##42 Nair Ayya Pillai St, Chennai, TN	India
S1-361130212	S2-309573501	Source 2	Regional Express	Brownsville, 555 Azteca Drive, TX	US	regionalexpress.com	55 AZTECA DR, BROWNSVILLE, TX	US
S1-852775221	S2-630518358	Source 2	Universal Foundation Pvt Ltd	G1, Amirtha Varshini, 131, Old No.52, Kothanda Ramar Koil Street, West Mambala, M, Chennai, Tamil Nadu	India	யுனிவர்சல் ஃபவுண்டேஷன் பிரைவேட் லிமிடெட்	GD/1, CHENNAI, Tamil Nadu	India
S1-852775221	S2-289490782	Source 2	Universal Foundation Pvt Ltd	G1, Amirtha Varshini, 131, Old No.52, Kothanda Ramar Koil Street, West Mambala, M, Chennai, Tamil Nadu	India	யுனிவர்சல் ஃபவுண்டேஷன் பிரைவேட் லிமிடெட்	CHENNAI, AMIRTHA VARSHINI, 131, OLD NO.52, KOTHANDA RAMAR KOIL STREET, WEST MAMBALA, M, Tamil Nadu, GD/1, CHENNAI	India
S1-852775221	S3-322974564	Source 3	Universal Foundation Pvt Ltd	G1, Amirtha Varshini, 131, Old No.52, Kothanda Ramar Koil Street, West Mambala, M, Chennai, Tamil Nadu	India	Universal Fóundation Pvt	Block G-d/990 G1, Chennai, TN	India
S1-839147305	S3-775700958	Source 3	Integrated Construction Associates, LLC	VA, Chesterfield County, 8810 Metro Court	US	integratedconstructionassociates.com	8810 Metro Court, Chesterfield County, Virginia	US
S1-839147305	S2-887165055	Source 2	Integrated Construction Associates, LLC	VA, Chesterfield County, 8810 Metro Court	US	Integrated Associates, LLC Services	008810 METRO CT, RICHMOND, VA	US
S1-180956762	S3-899318682	Source 3	Orane Brothers Limited	Dharmshinka Villa Plot No. 387/407 Rsc 26, Near St. Rocks School, Goari 2, Borivali W, Mumbai, Mumbai City, Maharashtra	India	Ectonyla dba Orane Brothers Limited	Maharashtra, Near St. Rocks School, Goari 2, Borivali W, Dharmshinka Villa Plot No. 387/407 Rsc 26, Mumbai, Mumbai City	India
S1-621690113	S3-190819231	Source 3	Ceon Income	NY, East Hampton, 121 Fort Pond Boulevard	US	-- Ceon-Icnoarre	Fort Pond Blvd, East Hampton, New York	US
S1-621690113	S2-21068434	Source 2	Ceon Income	NY, East Hampton, 121 Fort Pond Boulevard	US	Ceon Center	121 FORT POND BLVD, SPRINGS, NY	US
S1-606109978	S2-850087112	Source 2	Dynamic Technologies Private Limited	C-4, Madhikar Garh Colony, Tehsil, Kotputli, Jaipur, Rajasthan	India	डायनामिक टेक्नोलॉजीज प्राइवेट लिमिटेड	Rajasthan, MADHIKAR GARH COLONY, TEHSIL, KOTPUTLI, JAIPUR, C-4/4, JAIPUR	India
S1-704919417	S3-184554630	Source 3	NBI Works LLP	Uttar Pradesh, Lakhimpur, S/O Sri Sobran Lal Bajpai, Kheri, Village Khakra Chhauchh	India	NBI LLP  Center	Hn D/869 Village Khakra Chhauchh, S/o Sri Sobran Lal Bajpai, Kheri, Lakhimpur, उत्तर प्रदेश	India
S1-704919417	S3-399003251	Source 3	NBI Works LLP	Uttar Pradesh, Lakhimpur, S/O Sri Sobran Lal Bajpai, Kheri, Village Khakra Chhauchh	India	NBI Wórks L.L.P.	Kheri, UP, Hn D/869 Village Khakra Chhauchh, Lakhimpur	India
S1-813704961	S2-623318081	Source 2	Cota Abony	164 Hawk Nest Court, Henrico County, VA	US	Cota Ábony (ID: 51601)	HENRICO COUNTY, 164-D HAWK NEST CT, VA	US
S1-414888397	S2-705169915	Source 2	Star Foundation Private Limited	Grd Floor, The Landmark, No 28, Assaye Road, Bangalore North, Bangalore, Karnataka	India	ಸ್ಟಾರ್ ಫೌಂಡೇಶನ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್	GRD FLOOR, BANGALORE URBAN, Karnataka	India
S1-972363721	S3-120561476	Source 3	Universal Foods Pvt Ltd	Plot No.51, No.9, 2Nd Crossway, Aster Court Sea Cliff Conclave, Vgp Golden Beach, Chennai, Tamil Nadu	India	யுனிவர்சல் ஃபுட்ஸ் பிரைவேட் லிமிடெட்	Chennai, TN, No.9, 2Nd Crossway, Aster Court Sea Cliff Conclave, Vgp Golden Beach, H.no B3/51	India
S1-371874635	S3-684456756	Source 3	NL Services Pvt. Ltd.	New Delhi, South Delhi, C-35 South Extension Part I, Delhi	India	Pvt. NL Services Ltd	No 392 C-35 South Extension Part I, New Delhi, South Delhi, दिल्ली	India
S1-371874635	S2-311808	Source 2	NL Services Pvt. Ltd.	New Delhi, South Delhi, C-35 South Extension Part I, Delhi	India	NL Services Pvt Limited	C-35  SOUTH EXTENSION PART I, NEW DELHI, Delhi	India
S1-296806571	S3-237799760	Source 3	Design & Partners Group	Office No 218, 555, Business Point, Narayan Chambers, Near Modi Ganpati, Nar, Ayan Peth, Pune, Maharashtra	India	Design & Pártners Group	#0511 Office No 218, MH, Pune, Ayan Peth	India
S1-296806571	S3-906475287	Source 3	Design & Partners Group	Office No 218, 555, Business Point, Narayan Chambers, Near Modi Ganpati, Nar, Ayan Peth, Pune, Maharashtra	India	Design & Enterprises		India
S1-230674983	S3-5705304	Source 3	Winni's Pizza Partners	4916 S Hill View Drive, Charlotte, NC	US	winnispizzapartners.com	4916 South Hill View Dr, Charlotte, North Carolina	US
S1-177470509	S2-434303601	Source 2	Northern One	1034 Bolton Avenue, IN, Indianapolis	US	N0rthern One	IN, INDIANAPOLIS, 1201. BOLTON AVE	US
S1-109593962	S3-118565228	Source 3	Great Impex Private Limited	6-2-101/5/C, Telangana, Hyderabad, Secunderabad, Lane Beside Centralview Apt New Bhoiguda	India	గ్రేట్ ఇంపెక్స్ ప్రైవేట్ లిమిటెడ్	6-2-101/5/C, Lane Beside Centralview Apt New Bhoiguda, Secunderabad, Hyderabad, TG	India
S1-109593962	S2-199917158	Source 2	Great Impex Private Limited	6-2-101/5/C, Telangana, Hyderabad, Secunderabad, Lane Beside Centralview Apt New Bhoiguda	India	గ్రేట్ ఇంపెక్స్ ప్రైవేట్ లిమిటెడ్	6-2-101/5/C, HYDERABAD, SECUNDERABAD, తెలంగాణ	India
S1-758949647	S2-753472575	Source 2	Shell's Safe Advisors	210 Creekedge Circle, Huntsville, AL	US	shellssafeadvisors.com	AL, HUNTSVILLE, 0210 CREEKEDGE CIRCLE	US
S1-300598855	S2-65111536	Source 2	Green Fortune Software Private Limited	Sixth Floor, Rr Tower Iii, T.V.K Industrial Estate, Guindy, Chennai, Chennai, Tamil Nadu	India	கிரீன் ஃபார்ச்சூன் சாஃப்ட்வேர் பிரைவேட் லிமிடெட்	SITXH FLOOR, RR TOWER III, T.V.K INDUSTRIAL ESTATE, GUINDY, CHENNAI, CHENNAI, தமிழ்நாடு	India
S1-420925507	S3-75671102	Source 3	Charity's Certified Media	5209 Stillwood Drive, Wichita Falls, TX	US	Umbrafaye formerly known as Charity's Certified Media	Wichita Falls, TX, 5209 Stillwood Drive	US
S1-100109534	S2-456305658	Source 2	YZ Empire Rmg LLC	129 Quincy Street, Westmont, IL	US	yzempirermg.com	129 QUINYC STREET, WESTMONT, IL	US
S1-668968195	S2-846483605	Source 2	Mclaughlin Equity Partners LLC	Goshen, 608 Kercher Road, IN	US	MCLAUGHLINEQUITYPARTNERS.COM	IN, INCORPORATED, 608  KERCHER RD	US
S1-575212832	S3-90202042	Source 3	Sai Producer Private Limited	1-Ag-1-10/16, Flr-Grd, 1, Ganesh Murti Ngr. Captain Prakash Pethe Marg, Colaba, Back Bay Bus Depot, Mumbai, Mumbai City, Maharashtra	India	Sai Pdouecr Private Limited	1-Ag-1-10/16/4, Mumbai, Mumbai City, MH	India
S1-374373873	S3-771698089	Source 3	Martica's Bay Logistics	IN, West Lafayette, 302 Point West Ii	US	>> Jaxdova	302 Point West Ii, West Lafayette, Indiana	US
S1-96886690	S2-386674236	Source 2	Digital Bharat Media Private Limited	704, Om Sai Shraddha Co Op Hsg Society Ltd., Opp Gagangiri Park, Samta Nagar, Thane, Maharashtra	India	डिजिटल भारत मीडिया प्राइवेट लिमिटेड	704/9, THANE, Maharashtra	India
S1-921642430	S2-814125378	Source 2	Hornsby Trust	NM, 804 Linam Street, Hobbs	US	Homsby Trust	HOBBS, 804 LIANM ST, NM	US
S1-245985596	S2-912804964	Source 2	Riley Engineering PLLC	Unit E-E15, Dove Valley, CO, 14200 Otero Avenue	US	RILEYENGINEERING.COM	14200 OTERO AVE, CO, DOVE VALLEY	US
S1-149092361	S3-584248867	Source 3	Vaon	5610 Plum Point Court, Sugar Land, TX	US	Vashn	5610d Plum Point Court, Sugar Lannd, Texas	US
S1-149092361	S3-49879895	Source 3	Vaon	5610 Plum Point Court, Sugar Land, TX	US	Vaon.Com	5610d Plum Point Court, Sugar Lannd, Texas	US
S1-28453582	S2-72442936	Source 2	Laxmi Foundation Pvt Ltd	No 45 F Karukinil, Amarthaval Koil Street, Kancheepuram, Kanchipuram, Tamil Nadu	India	லக்ஷ்மி ஃபவுண்டேஷன் பிரைவேட் லிமிடெட்	DOOR NO #45 F KARUKINIL, AMARTHAVAL KOIL STREET, KANCHEEPURAM, KANCHIPURAM, Tamil Nadu	India
S1-443022811	S2-331707463	Source 2	Great Impex Limited	2-2-1130/8/A, Ii Floor Sivam Road, Opp Sbi Nallakunda, Hyderabd, Telangana	India	గ్రేట్ ఇంపెక్స్ లిమిటెడ్	2-2-1130/8/A, OPP SBI NALLAKUNDA, HYDERABD, Telangana	India
S1-86766910	S3-638759317	Source 3	Verrelle Averin	2426 Bathwick Lane, Forney, TX	US	Verre1le Averin	Bathwick Ln, Forey, Texas	US
S1-729777698	S3-96877441	Source 3	Atlantic Investment International Inc.	1819 Riverview Drive, Roseburg, OR	US	Inc. Atlantic Invesent International	Oregon, 1819 Riverview Dr, Roseburg	US
S1-595584379	S2-90794520	Source 2	Pediatric Continental Associates LLC	1208 Stafford Road, Darlington, MD	US	Pediatric Associates LLC Center		US
